movieId,count,title,genres
1,215,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,110,Jumanji (1995),Adventure|Children|Fantasy
3,52,Grumpier Old Men (1995),Comedy|Romance
6,102,Heat (1995),Action|Crime|Thriller
7,54,Sabrina (1995),Comedy|Romance
10,132,GoldenEye (1995),Action|Adventure|Thriller
11,70,"American President, The (1995)",Comedy|Drama|Romance
16,82,Casino (1995),Crime|Drama
17,67,Sense and Sensibility (1995),Drama|Romance
19,88,Ace Ventura: When Nature Calls (1995),Comedy
21,89,Get Shorty (1995),Comedy|Crime|Thriller
25,76,Leaving Las Vegas (1995),Drama|Romance
32,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,128,Babe (1995),Children|Drama
36,67,Dead Man Walking (1995),Crime|Drama
39,104,Clueless (1995),Comedy|Romance
47,203,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,68,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
50,204,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
62,80,Mr. Holland's Opus (1995),Drama
70,55,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
95,84,Broken Arrow (1996),Action|Adventure|Thriller
104,99,Happy Gilmore (1996),Comedy
110,237,Braveheart (1995),Action|Drama|War
111,104,Taxi Driver (1976),Crime|Drama|Thriller
141,86,"Birdcage, The (1996)",Comedy
145,51,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
150,201,Apollo 13 (1995),Adventure|Drama|IMAX
153,137,Batman Forever (1995),Action|Adventure|Comedy|Crime
158,62,Casper (1995),Adventure|Children
160,57,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,103,Crimson Tide (1995),Drama|Thriller|War
163,66,Desperado (1995),Action|Romance|Western
165,144,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
168,54,First Knight (1995),Action|Drama|Romance
172,53,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,62,Judge Dredd (1995),Action|Crime|Sci-Fi
185,112,"Net, The (1995)",Action|Crime|Thriller
208,115,Waterworld (1995),Action|Adventure|Sci-Fi
223,104,Clerks (1994),Comedy
225,52,Disclosure (1994),Drama|Thriller
231,133,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
235,70,Ed Wood (1994),Comedy|Drama
253,109,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
260,251,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
266,68,Legends of the Fall (1994),Drama|Romance|War|Western
288,92,Natural Born Killers (1994),Action|Crime|Thriller
292,101,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,133,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,307,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
300,81,Quiz Show (1994),Drama
316,140,Stargate (1994),Action|Adventure|Sci-Fi
317,81,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
318,317,"Shawshank Redemption, The (1994)",Crime|Drama
329,108,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
337,77,What's Eating Gilbert Grape (1993),Drama
339,98,While You Were Sleeping (1995),Comedy|Romance
344,161,Ace Ventura: Pet Detective (1994),Comedy
